POST_ID,TITLE,YEAR,DATE,ATTENDANCE,FUNDRAISER,URL
160069,"The 20YA | The Queen vs. The King.. Streak vs. Streak!",,first 1,,,https://dodgeball.livejournal.com/160069.html
159957,"The 20YA | A Prophecy Turned Reality",,words 20,,,https://dodgeball.livejournal.com/159957.html
159581,"The 20YA | A Tribute To ""Rozz""",,on 9,,,https://dodgeball.livejournal.com/159581.html
159237,"The 20YA | A Lifetime of Memories",,September 27,,,https://dodgeball.livejournal.com/159237.html
159142,"The 20YA | $20 Rimshot Contest",,The 20,,,https://dodgeball.livejournal.com/159142.html
158893,"The 20YA | Two Decades, 1 Queen.",,The 20,,,https://dodgeball.livejournal.com/158893.html
158410,"The 20YA | Biggest Birthday Ever!",,Celebrating 20,,,https://dodgeball.livejournal.com/158410.html
158139,"The 20YA | Coming Soon!",,The 20,,,https://dodgeball.livejournal.com/158139.html
155030,"INDOOR.3 | Photo Collage & Main Attraction Results",,an 11,,,https://dodgeball.livejournal.com/155030.html
154822,"INDOOR.3 | Happening Tonight!",,,,,https://dodgeball.livejournal.com/154822.html
154386,"INDOOR.3 | Sold Out Event!",,with 60,,,https://dodgeball.livejournal.com/154386.html
154192,"INDOOR.3 | Register Now!",,Over 40,,,https://dodgeball.livejournal.com/154192.html
153956,"INDOOR.3 | Register Now!",,September 21,,,https://dodgeball.livejournal.com/153956.html
153501,"INDOOR.3 | Coming Soon!",,,,,https://dodgeball.livejournal.com/153501.html
153289,"18th Anniversary | All Grown Up",,,,,https://dodgeball.livejournal.com/153289.html
152859,"18th Anniversary | Attendance Figures",,,,,https://dodgeball.livejournal.com/152859.html
152656,"18th Anniversary | Post-Event Recap",,s 21,,,https://dodgeball.livejournal.com/152656.html
152565,"18th Anniversary | Tonight's Details",,turns 18,,,https://dodgeball.livejournal.com/152565.html
152292,"18th Anniversary | Event Rundown",,these 4,,,https://dodgeball.livejournal.com/152292.html
151923,"18th Anniversary | Wear Blue!",,have 5,,,https://dodgeball.livejournal.com/151923.html
151790,"18th Anniversary | Major Announcement, Live!",,,,,https://dodgeball.livejournal.com/151790.html
151382,"18th Anniversary | Updated Poster",,,,,https://dodgeball.livejournal.com/151382.html
151165,"18th Anniversary | Official Announcement",,,,,https://dodgeball.livejournal.com/151165.html
151011,"FALLFEST Results -",,,,,https://dodgeball.livejournal.com/151011.html
150721,"FALLFEST Records -",,,,,https://dodgeball.livejournal.com/150721.html
150489,"FALLFEST Attendance -",,,,,https://dodgeball.livejournal.com/150489.html
150040,"FALLFEST Photo Collage -",,,,,https://dodgeball.livejournal.com/150040.html
149996,"FALLFEST Behind-The-Scenes Exclusive -",,,,,https://dodgeball.livejournal.com/149996.html
149579,"FALLFEST Event Details -",,,,,https://dodgeball.livejournal.com/149579.html
149468,"FALLFEST Main Attractions -",,,,,https://dodgeball.livejournal.com/149468.html
149182,"FALLFEST Reminder -",,,,,https://dodgeball.livejournal.com/149182.html
148842,"FALLFEST Announced -",,,,,https://dodgeball.livejournal.com/148842.html
148500,"FOUNDERS' DAY Bonus Infographics",,,,,https://dodgeball.livejournal.com/148500.html
148244,"FOUNDERS' DAY Official Attendance",,almost 17,,,https://dodgeball.livejournal.com/148244.html
147911,"FOUNDERS' DAY Event Information",,,,,https://dodgeball.livejournal.com/147911.html
147688,"FOUNDERS' DAY Attractions",,February 19,,,https://dodgeball.livejournal.com/147688.html
147306,"FOUNDERS' DAY Details",,than 5,,,https://dodgeball.livejournal.com/147306.html
147084,"FOUNDERS' DAY Announcement",,,,,https://dodgeball.livejournal.com/147084.html
146789,"SIXTEEN | Official Attendance & Event Extras",,my 2,,,https://dodgeball.livejournal.com/146789.html
146657,"SIXTEEN | Main Event & Contest Results",,s 16,,,https://dodgeball.livejournal.com/146657.html
146242,"SIXTEEN | Extras",,Sweet 16,,,https://dodgeball.livejournal.com/146242.html
146105,"SIXTEEN | Tonight's The Night!",,,,,https://dodgeball.livejournal.com/146105.html
145795,"SIXTEEN | Final Betting Odds",,are 1,,,https://dodgeball.livejournal.com/145795.html
145650,"SIXTEEN | Event Details & Why We Still Play",,the 16,,,https://dodgeball.livejournal.com/145650.html
145197,"SIXTEEN | A Triple Main Event!",,,,,https://dodgeball.livejournal.com/145197.html
145006,"SIXTEEN | Who Will Face EDWARDS?",,the 16,,,https://dodgeball.livejournal.com/145006.html
144667,"SIXTEEN | Featuring MICHAEL EDWARDS!",,,,,https://dodgeball.livejournal.com/144667.html
144409,"SIXTEEN | STILL The Ones To Beat",,,,,https://dodgeball.livejournal.com/144409.html
144336,"ANNIVERSARY SIXTEEN.. Coming Soon!",,,,,https://dodgeball.livejournal.com/144336.html
143267,"15YA | Final Preview",,,,,https://dodgeball.livejournal.com/143267.html
142746,"15YA | Official Preview",,The 15,,,https://dodgeball.livejournal.com/142746.html
142508,"15YA | Coming August 22",,August 22,,,https://dodgeball.livejournal.com/142508.html
142114,"History & Records of the AA Majors",,,,,https://dodgeball.livejournal.com/142114.html
142074,"15 IN 15 | The Queen, The King",,IN 15,,,https://dodgeball.livejournal.com/142074.html
141717,"15 IN 15 | Edwards, K. Adams, & Fitzpatrick",,IN 15,,,https://dodgeball.livejournal.com/141717.html
141366,"15 IN 15 | Megill, Sputz, & Pierce",,IN 15,,,https://dodgeball.livejournal.com/141366.html
141208,"Like A FINE WINE: Oldest Captains Ever",,,,,https://dodgeball.livejournal.com/141208.html
141005,"15YA | Generations Collide on August 22",,August 22,,,https://dodgeball.livejournal.com/141005.html
140641,"ECD's ONE & ONLYs: Three-Part Series",,our 15,,,https://dodgeball.livejournal.com/140641.html
140535,"TWO Tough To Beat | TWICE As Nice",,,,,https://dodgeball.livejournal.com/140535.html
140090,"ECD's DOUBLE Champs",,Nearly 50,,,https://dodgeball.livejournal.com/140090.html
139834,"14YA | STATISTICS & RECORDS",,,,,https://dodgeball.livejournal.com/139834.html
